ID, Domain, len, objs, valid_exe, invalid_exe
0, blocksworld, 10, 19, 0.15850073419758487, 0.9993265993265993
1, blocksworld, 30, 19, 0.2333423618833991, 0.9966329966329966
2, blocksworld, 50, 18, 0.28044776143401734, 0.9837037037037037
3, blocksworld, 92, 15, 0.1953716950739421, 0.9858585858585859
4, blocksworld, 236, 14, 0.2445116775437157, 0.9827609427609428
5, blocksworld, 476, 13, 0.2445116775437157, 0.9827609427609428
6, blocksworld, 15, 19, 0.19686526926633768, 0.9986531986531986
7, blocksworld, 45, 19, 0.28044776143401734, 0.9837037037037037
8, blocksworld, 75, 18, 0.28044776143401734, 0.9837037037037037
9, blocksworld, 132, 15, 0.1953716950739421, 0.9858585858585859
10, blocksworld, 343, 14, 0.28554283604900293, 0.9827609427609428
11, blocksworld, 684, 13, 0.41375391405604867, 0.9835690235690235
12, blocksworld, 30, 19, 0.4053790819944305, 0.9819528619528619
13, blocksworld, 90, 19, 0.4294065375510209, 0.9854545454545455
14, blocksworld, 136, 18, 0.2445116775437157, 0.9827609427609428
15, blocksworld, 238, 15, 0.1953716950739421, 0.9858585858585859
16, blocksworld, 622, 14, 0.4453188787126932, 0.9854545454545455
17, blocksworld, 50, 19, 0.4113752384424625, 0.9854545454545455
18, blocksworld, 138, 19, 0.4671028675115175, 0.9854545454545455
19, blocksworld, 204, 18, 0.44158093133877063, 0.9815488215488216
20, blocksworld, 358, 15, 0.1953716950739421, 0.9858585858585859
21, blocksworld, 66, 19, 0.4453188787126932, 0.9854545454545455
22, blocksworld, 179, 19, 0.4671028675115175, 0.9854545454545455
23, blocksworld, 270, 18, 0.4453188787126932, 0.9854545454545455
24, blocksworld, 465, 15, 0.1953716950739421, 0.9858585858585859
25, blocksworld, 66, 19, 0.4453188787126932, 0.9854545454545455
26, blocksworld, 194, 19, 0.4671028675115175, 0.9854545454545455
27, blocksworld, 310, 18, 0.4453188787126932, 0.9854545454545455
28, blocksworld, 516, 15, 0.1953716950739421, 0.9858585858585859
29, childsnack, 10, 40, 0.4347991332175006, 1.0
30, childsnack, 30, 40, 0.5207996878405041, 0.9983673469387755
31, childsnack, 50, 38, 0.5808313946069048, 1.0
32, childsnack, 94, 33, 0.2569170323251956, 1.0
33, childsnack, 242, 32, 0.293791817592838, 1.0
34, childsnack, 486, 31, 0.44369194864092826, 1.0
35, childsnack, 15, 40, 0.4803173192076253, 1.0
36, childsnack, 45, 40, 0.49540925533272473, 1.0
37, childsnack, 75, 38, 0.5808313946069048, 1.0
38, childsnack, 135, 33, 0.2569170323251956, 1.0
39, childsnack, 353, 32, 0.7140536867705235, 0.996734693877551
40, childsnack, 703, 31, 0.7140536867705235, 0.996734693877551
41, childsnack, 27, 40, 0.7253727753727753, 0.9983673469387755
42, childsnack, 78, 40, 0.7253727753727753, 0.9983673469387755
43, childsnack, 123, 38, 0.7253727753727753, 0.9983673469387755
44, childsnack, 216, 33, 0.2569170323251956, 1.0
45, childsnack, 534, 32, 0.6607959024158003, 0.9983673469387755
