ID, Domain, len, len%, valid_acceptance, invalid_acceptance
26, blocksworld, 100, 0.020185708518368994, 1.0, 0.6495341285505835
27, blocksworld, 90, 0.018167137666532097, 1.0, 0.290182225812824
28, blocksworld, 20, 0.004037141703673799, 1.0, 0.6495341285505835
29, blocksworld, 12, 0.0024222850222042794, 1.0, 0.6495341285505835
30, blocksworld, 10, 0.0020185708518368995, 1.0, 0.6495341285505835
31, blocksworld, 20, 0.004037141703673799, 1.0, 0.6495341285505835
32, blocksworld, 20, 0.004037141703673799, 0.030303030303030304, 0.013468013468013467
33, blocksworld, 20, 0.004037141703673799, 0.030303030303030304, 0.013468013468013467
34, blocksworld, 20, 0.004037141703673799, 0.030303030303030304, 0.013468013468013467
35, blocksworld, 20, 0.004037141703673799, 0.030303030303030304, 0.013468013468013467
36, blocksworld, 20, 0.004037141703673799, 0.030303030303030304, 0.013468013468013467
37, blocksworld, 20, 0.004037141703673799, 0.030303030303030304, 0.013468013468013467
38, blocksworld, 92, 0.018570851836899476, 1.0, 0.6495341285505835
39, blocksworld, 96, 0.019378280177634235, 1.0, 0.6495341285505835
40, blocksworld, 100, 0.020185708518368994, 1.0, 0.6495341285505835
41, blocksworld, 92, 0.018570851836899476, 1.0, 0.6495341285505835
42, blocksworld, 80, 0.016148566814695196, 1.0, 0.6495341285505835
43, blocksworld, 90, 0.018167137666532097, 1.0, 0.6495341285505835
44, blocksworld, 76, 0.015341138473960436, 1.0, 0.6495341285505835
45, blocksworld, 100, 0.020185708518368994, 0.030303030303030304, 0.013468013468013467
46, blocksworld, 100, 0.020185708518368994, 1.0, 0.6495341285505835
47, blocksworld, 74, 0.014937424303593056, 1.0, 0.6495341285505835
48, blocksworld, 164, 0.03310456197012515, 1.0, 0.6495341285505835
49, blocksworld, 188, 0.03794913201453371, 1.0, 0.6495341285505835
50, blocksworld, 180, 0.036334275333064193, 1.0, 0.6495341285505835
51, blocksworld, 164, 0.03310456197012515, 1.0, 0.6495341285505835
52, blocksworld, 158, 0.03189341945902301, 1.0, 0.6495341285505835
53, blocksworld, 164, 0.03310456197012515, 1.0, 0.6495341285505835
54, blocksworld, 140, 0.028259991925716592, 1.0, 0.6495341285505835
55, blocksworld, 192, 0.03875656035526847, 1.0, 0.6495341285505835
56, blocksworld, 188, 0.03794913201453371, 1.0, 0.6495341285505835
57, blocksworld, 160, 0.03229713362939039, 1.0, 0.6495341285505835
58, blocksworld, 16, 0.003229713362939039, 1.0, 0.6495341285505835
59, blocksworld, 12, 0.0024222850222042794, 1.0, 0.6495341285505835
60, blocksworld, 30, 0.006055712555510699, 0.030303030303030304, 0.013468013468013467
61, blocksworld, 30, 0.006055712555510699, 1.0, 0.6495341285505835
62, blocksworld, 14, 0.002825999192571659, 1.0, 0.6495341285505835
63, blocksworld, 30, 0.006055712555510699, 0.030303030303030304, 0.013468013468013467
64, blocksworld, 30, 0.006055712555510699, 1.0, 0.6495341285505835
65, blocksworld, 30, 0.006055712555510699, 0.030303030303030304, 0.013468013468013467
66, blocksworld, 30, 0.006055712555510699, 0.030303030303030304, 0.013468013468013467
67, blocksworld, 128, 0.025837706903512312, 1.0, 0.6495341285505835
68, blocksworld, 144, 0.029067420266451354, 1.0, 0.6495341285505835
69, blocksworld, 150, 0.030278562777553492, 0.030303030303030304, 0.013468013468013467
70, blocksworld, 132, 0.026645135244247074, 1.0, 0.6495341285505835
71, blocksworld, 150, 0.030278562777553492, 1.0, 0.6495341285505835
72, blocksworld, 98, 0.019781994348001614, 1.0, 0.6495341285505835
73, blocksworld, 122, 0.024626564392410174, 1.0, 0.6495341285505835
74, blocksworld, 150, 0.030278562777553492, 1.0, 0.6495341285505835
75, blocksworld, 150, 0.030278562777553492, 1.0, 0.6495341285505835
76, blocksworld, 128, 0.025837706903512312, 1.0, 0.6495341285505835
77, blocksworld, 244, 0.04925312878482035, 1.0, 0.6495341285505835
78, blocksworld, 268, 0.05409769882922891, 1.0, 0.6495341285505835
79, blocksworld, 218, 0.04400484457004441, 1.0, 0.6495341285505835
80, blocksworld, 280, 0.056519983851433184, 1.0, 0.6495341285505835
81, blocksworld, 240, 0.04844570044408559, 1.0, 0.6495341285505835
82, blocksworld, 242, 0.04884941461445297, 1.0, 0.6495341285505835
83, blocksworld, 298, 0.060153411384739605, 1.0, 0.6495341285505835
84, blocksworld, 300, 0.060557125555106985, 1.0, 0.6495341285505835
85, blocksworld, 282, 0.05692369802180056, 1.0, 0.6495341285505835
86, blocksworld, 188, 0.03794913201453371, 1.0, 0.6495341285505835
87, blocksworld, 50, 0.010092854259184497, 1.0, 0.6495341285505835
88, blocksworld, 24, 0.004844570044408559, 1.0, 0.6495341285505835
89, blocksworld, 50, 0.010092854259184497, 1.0, 0.6495341285505835
90, blocksworld, 50, 0.010092854259184497, 1.0, 0.6495341285505835
91, blocksworld, 14, 0.002825999192571659, 1.0, 0.6495341285505835
92, blocksworld, 40, 0.008074283407347598, 1.0, 0.6495341285505835
93, blocksworld, 50, 0.010092854259184497, 1.0, 0.6495341285505835
94, blocksworld, 50, 0.010092854259184497, 1.0, 0.6495341285505835
95, blocksworld, 30, 0.006055712555510699, 1.0, 0.6495341285505835
96, blocksworld, 50, 0.010092854259184497, 1.0, 0.6495341285505835
97, blocksworld, 140, 0.028259991925716592, 1.0, 0.6495341285505835
98, blocksworld, 182, 0.03673798950343157, 1.0, 0.6495341285505835
99, blocksworld, 142, 0.02866370609608397, 1.0, 0.6495341285505835
100, blocksworld, 244, 0.04925312878482035, 1.0, 0.6495341285505835
101, blocksworld, 180, 0.036334275333064193, 1.0, 0.6495341285505835
102, blocksworld, 152, 0.03068227694792087, 1.0, 0.6495341285505835
103, blocksworld, 174, 0.03512313282196205, 1.0, 0.6495341285505835
104, blocksworld, 200, 0.04037141703673799, 1.0, 0.6495341285505835
105, blocksworld, 190, 0.03835284618490109, 1.0, 0.6495341285505835
106, blocksworld, 184, 0.03714170367379895, 1.0, 0.6495341285505835
107, blocksworld, 314, 0.06338312474767864, 1.0, 0.6495341285505835
