id,dod,actual_dod,domain,index,total_length,len%,runtime,polocm_time,locm2_time,locm_time,accuracy,error_rate,acceptance_rate,invalid_acceptance_rate,remark
0,1.0,1.0,blocksworld,0,10,0.0020185708518368995,0.0818781852722168,0.0599365234375,0.010083675384521484,0.011857986450195312,0.5277777777777778,0.4722222222222222,0.030303030303030304,0.2888888888888889,Success
1,1.0,1.0,blocksworld,1,10,0.0020185708518368995,0.0664818286895752,0.04725790023803711,0.006232738494873047,0.012991189956665039,0.5277777777777778,0.4722222222222222,0.030303030303030304,0.2888888888888889,Success
2,1.0,1.0,blocksworld,3,10,0.0020185708518368995,0.06511092185974121,0.04702877998352051,0.005839109420776367,0.012243032455444336,0.5277777777777778,0.4722222222222222,0.030303030303030304,0.2888888888888889,Success
3,1.0,1.0,blocksworld,4,10,0.0020185708518368995,0.06592869758605957,0.04585766792297363,0.0066411495208740234,0.013429880142211914,0.5277777777777778,0.4722222222222222,0.030303030303030304,0.2888888888888889,Success
4,1.0,1.0,blocksworld,5,10,0.0020185708518368995,0.06426644325256348,0.045561790466308594,0.00605463981628418,0.012650012969970703,0.5277777777777778,0.4722222222222222,0.030303030303030304,0.2888888888888889,Success
5,1.0,1.0,blocksworld,6,10,0.0020185708518368995,0.06945586204528809,0.04873466491699219,0.006703376770019531,0.014017820358276367,0.5277777777777778,0.4722222222222222,0.030303030303030304,0.2888888888888889,Success
6,1.0,1.0,blocksworld,7,10,0.0020185708518368995,0.06936478614807129,0.04867124557495117,0.0066983699798583984,0.013995170593261719,0.5277777777777778,0.4722222222222222,0.030303030303030304,0.2888888888888889,Success
28,1.0,1.0,blocksworld,0,20,0.004037141703673799,0.22589755058288574,0.16545510292053223,0.02499842643737793,0.035444021224975586,0.4513888888888889,0.5486111111111112,1.0,0.1760526672903029,Success
7,1.0,1.0,blocksworld,8,10,0.0020185708518368995,0.1121971607208252,0.053520917892456055,0.021050214767456055,0.037626028060913086,0.3784722222222222,0.6215277777777778,0.08080808080808081,0.5045201951748441,Success
8,1.0,1.0,blocksworld,0,50,0.010092854259184497,0.2755293846130371,0.2413959503173828,0.012651205062866211,0.021482229232788086,0.5277777777777778,0.4722222222222222,0.030303030303030304,0.2888888888888889,Success
168,1.0,1.0,childsnack,3,96,0.0446927374301676,0.7101035118103027,0.6020166873931885,0.039328813552856445,0.06875801086425781,0.7429761904761906,0.2570238095238095,0.10204081632653061,0.18454700854700853,Success
9,1.0,1.0,blocksworld,1,30,0.006055712555510699,0.17561841011047363,0.14801907539367676,0.009668588638305664,0.01793074607849121,0.5277777777777778,0.4722222222222222,0.030303030303030304,0.2888888888888889,Success
29,1.0,1.0,blocksworld,1,12,0.0024222850222042794,0.12957763671875,0.07496142387390137,0.018917083740234375,0.03569912910461426,0.32291666666666663,0.6770833333333333,1.0,0.4413137495384172,Success
10,1.0,1.0,blocksworld,2,50,0.010092854259184497,0.28225135803222656,0.24828004837036133,0.012177467346191406,0.021793842315673828,0.5277777777777778,0.4722222222222222,0.030303030303030304,0.2888888888888889,Success
56,1.0,1.0,blocksworld,8,188,0.03794913201453371,1.5133721828460693,1.414273977279663,0.03806805610656738,0.06103014945983887,0.3506944444444444,0.6493055555555556,1.0,0.4413137495384172,Success
30,1.0,1.0,blocksworld,2,10,0.0020185708518368995,0.11223101615905762,0.05645012855529785,0.01910710334777832,0.036673784255981445,0.3784722222222222,0.6215277777777778,0.08080808080808081,0.4613095238095238,Success
308,1.0,1.0,ferry,4,40,0.010922992900054615,0.3005852699279785,0.2669060230255127,0.007699728012084961,0.02597951889038086,0.5439814814814815,0.45601851851851855,1.0,0.6494805194805192,Success
169,1.0,1.0,childsnack,4,97,0.04515828677839851,0.7130534648895264,0.6126730442047119,0.04204297065734863,0.05833745002746582,0.7816666666666668,0.21833333333333332,0.030612244897959183,0.08518518518518518,Success
11,1.0,1.0,blocksworld,3,50,0.010092854259184497,0.2787051200866699,0.2466142177581787,0.011569499969482422,0.02052140235900879,0.5277777777777778,0.4722222222222222,0.030303030303030304,0.2888888888888889,Success
12,1.0,1.0,blocksworld,4,50,0.010092854259184497,0.2735710144042969,0.2374553680419922,0.013206958770751953,0.022908687591552734,0.5277777777777778,0.4722222222222222,0.030303030303030304,0.2888888888888889,Success
309,1.0,1.0,ferry,5,50,0.013653741125068269,0.5280606746673584,0.4971611499786377,0.0019421577453613281,0.028957366943359375,0.5601851851851852,0.4398148148148148,1.0,0.6494805194805192,Success
170,1.0,1.0,childsnack,5,100,0.04655493482309125,0.685441255569458,0.6231191158294678,0.01641058921813965,0.045911550521850586,0.8141319444444445,0.18586805555555555,0.030612244897959183,0.018518518518518517,Success
31,1.0,1.0,blocksworld,3,20,0.004037141703673799,0.23903417587280273,0.17484378814697266,0.022619009017944336,0.04157137870788574,0.32291666666666663,0.6770833333333333,1.0,0.4413137495384172,Success
252,1.0,1.0,childsnack,8,98,0.04562383612662942,1.4379487037658691,1.3119394779205322,0.0349278450012207,0.09108138084411621,0.7816666666666666,0.21833333333333332,1.0,0.0711887319030176,Success
310,1.0,1.0,ferry,6,40,0.010922992900054615,0.30609917640686035,0.28055596351623535,0.0019526481628417969,0.023590564727783203,0.5601851851851852,0.4398148148148148,1.0,0.6494805194805192,Success
32,1.0,1.0,blocksworld,4,20,0.004037141703673799,0.18886923789978027,0.16289043426513672,0.009011983871459961,0.016966819763183594,0.5277777777777778,0.4722222222222222,0.030303030303030304,0.2888888888888889,Success
196,1.0,1.0,childsnack,2,181,0.08426443202979515,2.2813892364501953,2.1683833599090576,0.029671192169189453,0.08333468437194824,0.7598412698412699,0.24015873015873018,1.0,0.0711887319030176,Success
171,1.0,1.0,childsnack,6,98,0.04562383612662942,0.6843118667602539,0.6102283000946045,0.019202709197998047,0.05488085746765137,0.7382142857142858,0.2617857142857143,0.030612244897959183,0.037037037037037035,Success
13,1.0,1.0,blocksworld,5,40,0.008074283407347598,0.2639613151550293,0.20396137237548828,0.020932912826538086,0.03906702995300293,0.3506944444444444,0.6493055555555556,1.0,0.47667701537746493,Success
33,1.0,1.0,blocksworld,5,20,0.004037141703673799,0.19076991081237793,0.16213345527648926,0.010096311569213867,0.018540143966674805,0.5277777777777778,0.4722222222222222,0.030303030303030304,0.2888888888888889,Success
280,1.0,1.0,childsnack,6,114,0.05307262569832402,1.8193495273590088,1.7153077125549316,0.02484750747680664,0.07919430732727051,0.7816666666666666,0.21833333333333335,1.0,0.0711887319030176,Success
34,1.0,1.0,blocksworld,6,20,0.004037141703673799,0.18892264366149902,0.16136908531188965,0.009459495544433594,0.01809406280517578,0.5277777777777778,0.4722222222222222,0.030303030303030304,0.2888888888888889,Success
14,1.0,1.0,blocksworld,6,40,0.008074283407347598,0.22941088676452637,0.1975994110107422,0.011304378509521484,0.020507097244262695,0.5277777777777778,0.4722222222222222,0.030303030303030304,0.2888888888888889,Success
84,1.0,1.0,blocksworld,7,300,0.060557125555106985,3.435720920562744,3.3174118995666504,0.04519987106323242,0.07310914993286133,0.3368055555555556,0.6631944444444444,1.0,0.4413137495384172,Success
311,1.0,1.0,ferry,7,48,0.013107591480065538,0.4380209445953369,0.40683865547180176,0.0019724369049072266,0.02920985221862793,0.5601851851851852,0.4398148148148148,1.0,0.6494805194805192,Success
172,1.0,1.0,childsnack,7,94,0.043761638733705775,0.6985149383544922,0.5843877792358398,0.04833579063415527,0.06579136848449707,0.8124305555555555,0.18756944444444446,0.11224489795918367,0.1635975135975136,Success
15,1.0,1.0,blocksworld,7,50,0.010092854259184497,0.27771520614624023,0.24619388580322266,0.011266231536865234,0.020255088806152344,0.5277777777777778,0.4722222222222222,0.030303030303030304,0.2888888888888889,Success
57,1.0,1.0,blocksworld,9,160,0.03229713362939039,1.539600133895874,1.4431235790252686,0.035802602767944336,0.06067395210266113,0.3506944444444444,0.6493055555555556,1.0,0.4413137495384172,Success
312,1.0,1.0,ferry,8,28,0.007646095030038231,0.32460618019104004,0.2718014717102051,0.013383150100708008,0.03942155838012695,0.5648148148148148,0.4351851851851852,0.20202020202020202,0.5105952380952381,Success
35,1.0,1.0,blocksworld,7,20,0.004037141703673799,0.2916555404663086,0.2471146583557129,0.015720605850219727,0.028820276260375977,0.5277777777777778,0.4722222222222222,0.030303030303030304,0.2888888888888889,Success
224,1.0,1.0,childsnack,0,230,0.10707635009310987,3.4639527797698975,3.333183526992798,0.035849809646606445,0.09491944313049316,0.7816666666666666,0.21833333333333332,1.0,0.0711887319030176,Success
313,1.0,1.0,ferry,9,45,0.012288367012561441,0.2963283061981201,0.2564864158630371,0.009091377258300781,0.030750513076782227,0.6018518518518519,0.39814814814814814,0.1717171717171717,0.563781512605042,Success
36,1.0,1.0,blocksworld,8,20,0.004037141703673799,0.20714783668518066,0.1781601905822754,0.009981155395507812,0.01900649070739746,0.5277777777777778,0.4722222222222222,0.030303030303030304,0.2888888888888889,Success
253,1.0,1.0,childsnack,9,93,0.04329608938547486,1.4544076919555664,1.3406357765197754,0.030333757400512695,0.08343815803527832,0.7598412698412699,0.24015873015873018,1.0,0.12133786848072561,Success
37,1.0,1.0,blocksworld,9,20,0.004037141703673799,0.18719100952148438,0.16106438636779785,0.008834362030029297,0.017292261123657227,0.5277777777777778,0.4722222222222222,0.030303030303030304,0.2888888888888889,Success
173,1.0,1.0,childsnack,8,100,0.04655493482309125,0.7370603084564209,0.6352798938751221,0.04269075393676758,0.05908966064453125,0.7816666666666666,0.21833333333333332,0.030612244897959183,0.08518518518518518,Success
197,1.0,1.0,childsnack,3,161,0.07495344506517691,1.7039692401885986,1.5860724449157715,0.041097164154052734,0.07679963111877441,0.7776984126984127,0.2223015873015873,0.23469387755102042,0.04555183946488294,Success
16,1.0,1.0,blocksworld,8,50,0.010092854259184497,0.3105762004852295,0.25060009956359863,0.02140212059020996,0.0385739803314209,0.3368055555555556,0.6631944444444444,1.0,0.47667701537746493,Success
314,1.0,1.0,ferry,0,100,0.027307482250136537,0.6296555995941162,0.5930211544036865,0.002045869827270508,0.03458857536315918,0.5601851851851852,0.4398148148148148,1.0,0.6494805194805192,Success
281,1.0,1.0,childsnack,7,98,0.04562383612662942,1.5133326053619385,1.3874397277832031,0.03303360939025879,0.09285926818847656,0.7816666666666666,0.21833333333333335,1.0,0.0711887319030176,Success
174,1.0,1.0,childsnack,9,100,0.04655493482309125,0.6295862197875977,0.6106822490692139,0.001984834671020508,0.01691913604736328,0.8666666666666668,0.13333333333333333,0.0,0,Success
58,1.0,1.0,blocksworld,0,16,0.003229713362939039,0.32736873626708984,0.22041678428649902,0.03977656364440918,0.06717538833618164,0.32291666666666663,0.6770833333333333,1.0,0.4413137495384172,Success
