ID, Domain, len, len%, valid_exe, invalid_exe
144, blocksworld, 424, 0.08558740411788454, 0, 1
145, childsnack, 10, 0.004655493482309125, 0, 1
146, childsnack, 10, 0.004655493482309125, 0, 1
147, childsnack, 10, 0.004655493482309125, 0, 1
148, childsnack, 10, 0.004655493482309125, 0, 1
149, childsnack, 10, 0.004655493482309125, 0, 1
150, childsnack, 10, 0.004655493482309125, 0, 1
151, childsnack, 10, 0.004655493482309125, 0, 1
152, childsnack, 10, 0.004655493482309125, 0, 1
153, childsnack, 10, 0.004655493482309125, 0, 1
154, childsnack, 10, 0.004655493482309125, 0, 1
155, childsnack, 50, 0.023277467411545624, 0, 1
156, childsnack, 48, 0.0223463687150838, 0, 1
157, childsnack, 40, 0.0186219739292365, 0, 1
158, childsnack, 46, 0.021415270018621976, 0, 1
159, childsnack, 47, 0.021880819366852888, 0, 1
160, childsnack, 50, 0.023277467411545624, 0, 1
161, childsnack, 50, 0.023277467411545624, 0, 1
162, childsnack, 48, 0.0223463687150838, 0, 1
163, childsnack, 44, 0.020484171322160148, 0, 1
164, childsnack, 47, 0.021880819366852888, 0, 1
165, childsnack, 100, 0.04655493482309125, 0, 1
166, childsnack, 90, 0.04189944134078212, 0, 1
167, childsnack, 98, 0.04562383612662942, 0, 1
168, childsnack, 96, 0.0446927374301676, 0, 1
169, childsnack, 97, 0.04515828677839851, 0, 1
170, childsnack, 100, 0.04655493482309125, 0, 1
171, childsnack, 98, 0.04562383612662942, 0, 1
172, childsnack, 94, 0.043761638733705775, 0, 1
173, childsnack, 100, 0.04655493482309125, 0, 1
174, childsnack, 100, 0.04655493482309125, 0, 1
175, childsnack, 18, 0.008379888268156424, 0, 1
176, childsnack, 11, 0.005121042830540037, 0, 1
177, childsnack, 20, 0.00931098696461825, 0, 1
178, childsnack, 18, 0.008379888268156424, 0, 1
179, childsnack, 20, 0.00931098696461825, 0, 1
180, childsnack, 20, 0.00931098696461825, 0, 1
181, childsnack, 15, 0.006983240223463687, 0, 1
182, childsnack, 15, 0.006983240223463687, 0, 1
183, childsnack, 20, 0.00931098696461825, 0, 1
184, childsnack, 88, 0.040968342644320296, 0, 1
185, childsnack, 95, 0.04422718808193669, 0, 1
186, childsnack, 85, 0.03957169459962756, 0, 1
187, childsnack, 82, 0.038175046554934824, 0, 1
188, childsnack, 88, 0.040968342644320296, 0, 1
189, childsnack, 95, 0.04422718808193669, 0, 1
190, childsnack, 79, 0.03677839851024209, 0, 1
191, childsnack, 81, 0.03770949720670391, 0, 1
192, childsnack, 100, 0.04655493482309125, 0, 1
193, childsnack, 88, 0.040968342644320296, 0, 1
194, childsnack, 165, 0.07681564245810056, 0, 1
195, childsnack, 179, 0.08333333333333333, 0, 1
196, childsnack, 181, 0.08426443202979515, 0, 1
197, childsnack, 161, 0.07495344506517691, 0, 1
198, childsnack, 169, 0.07867783985102421, 0, 1
199, childsnack, 180, 0.08379888268156424, 0, 1
200, childsnack, 186, 0.08659217877094973, 0, 1
201, childsnack, 159, 0.07402234636871509, 0, 1
202, childsnack, 191, 0.08891992551210429, 0, 1
203, childsnack, 186, 0.08659217877094973, 0, 1
204, childsnack, 18, 0.008379888268156424, 0, 1
205, childsnack, 24, 0.0111731843575419, 0, 1
206, childsnack, 18, 0.008379888268156424, 0, 1
207, childsnack, 30, 0.013966480446927373, 0, 1
208, childsnack, 21, 0.009776536312849162, 0, 1
209, childsnack, 30, 0.013966480446927373, 0, 1
210, childsnack, 18, 0.008379888268156424, 0, 1
211, childsnack, 24, 0.0111731843575419, 0, 1
212, childsnack, 30, 0.013966480446927373, 0, 1
213, childsnack, 21, 0.009776536312849162, 0, 1
214, childsnack, 108, 0.05027932960893855, 0, 1
215, childsnack, 117, 0.05446927374301676, 0, 1
216, childsnack, 99, 0.046089385474860335, 0, 1
217, childsnack, 123, 0.05726256983240224, 0, 1
218, childsnack, 100, 0.04655493482309125, 0, 1
219, childsnack, 85, 0.03957169459962756, 0, 1
220, childsnack, 129, 0.06005586592178771, 0, 1
221, childsnack, 117, 0.05446927374301676, 0, 1
222, childsnack, 92, 0.04283054003724395, 0, 1
223, childsnack, 111, 0.051675977653631286, 0, 1
224, childsnack, 230, 0.10707635009310987, 0, 1
