ID, Domain, len, objs, valid_exe, invalid_exe
97, floortile, 358, 28, 0.8264369542377002, 0.7140157511324348
98, floortile, 731, 27, 0.9235730235381152, 0.8496661583736653
99, floortile, 30, 34, 0.933296354852618, 0.7846949149185444
100, floortile, 90, 36, 0.8206739067276809, 0.7580693229781464
101, floortile, 150, 32, 0.8958233373816333, 0.7606544829740707
102, floortile, 260, 28, 0.7880030291749968, 0.6966432606903398
103, floortile, 661, 28, 0.9030393810388221, 0.8059031496763079
104, floortile, 50, 34, 0.9108504233418626, 0.7787838446501758
105, floortile, 150, 36, 0.933296354852618, 0.7822410624016799
106, floortile, 250, 32, 0.8208104855217053, 0.7412926663164081
107, floortile, 420, 28, 0.7880030291749968, 0.6897555646933531
108, floortile, 75, 34, 0.9108504233418626, 0.7793856816913592
109, floortile, 225, 36, 0.9108504233418626, 0.7772890694870136
110, floortile, 353, 32, 0.9079836555625677, 0.9192488322054166
111, floortile, 598, 28, 0.7880030291749968, 0.7079278861160293
112, floortile, 100, 34, 0.9643730163965127, 0.8970736501158616
113, floortile, 300, 36, 0.9189231718245053, 0.8554611796674672
114, floortile, 453, 32, 0.9503589901641174, 0.8392654555891462
115, floortile, 771, 28, 0.7880030291749968, 0.6978659281598939
116, miconic, 10, 19, 0.5810149667677484, 0.9335954785954785
117, miconic, 30, 20, 0.9111635172706177, 1.0
118, miconic, 44, 19, 0.5542501293194114, 0.9155916305916306
119, miconic, 82, 16, 0.6767979274387029, 0.7810004810004809
120, miconic, 212, 15, 0.9150928598387126, 1.0
121, miconic, 409, 14, 0.8510302922018324, 1.0
122, miconic, 15, 19, 0.8989926190396083, 1.0
123, miconic, 44, 20, 0.9973255130676419, 1.0
124, miconic, 63, 19, 0.8510302922018324, 1.0
125, miconic, 115, 16, 0.6767979274387029, 0.7833742183742184
126, miconic, 283, 15, 0.9150928598387126, 1.0
127, miconic, 530, 14, 0.8510302922018324, 1.0
128, miconic, 20, 19, 0.9973255130676419, 1.0
129, miconic, 64, 20, 0.9973255130676419, 1.0
130, miconic, 98, 19, 0.9964962018935033, 1.0
131, miconic, 167, 16, 0.6767979274387029, 0.783006253006253
132, miconic, 391, 15, 0.9150928598387126, 1.0
133, miconic, 20, 19, 0.9973255130676419, 1.0
134, miconic, 67, 20, 0.9992229992229992, 1.0
135, miconic, 106, 19, 0.9964962018935033, 1.0
136, miconic, 175, 16, 0.6767979274387029, 0.7853150553150553
137, miconic, 20, 19, 0.9973255130676419, 1.0
138, miconic, 67, 20, 0.9992229992229992, 1.0
139, miconic, 106, 19, 0.9964962018935033, 1.0
140, miconic, 175, 16, 0.6767979274387029, 0.7832515632515633
141, miconic, 20, 19, 0.9973255130676419, 1.0
142, miconic, 67, 20, 0.9992229992229992, 1.0
143, miconic, 106, 19, 0.9964962018935033, 1.0
144, miconic, 175, 16, 0.6767979274387029, 0.7846657046657047
145, rovers, 10, 28, 0.2313214018212552, 0.12070707070707071
146, rovers, 30, 28, 0.2833351898920558, 0.6868686868686869
147, rovers, 50, 26, 0, 0
148, rovers, 100, 23, 0, 0
149, rovers, 250, 22, 0, 0
150, rovers, 494, 21, 0, 0
151, rovers, 15, 28, 0, 0
152, rovers, 45, 28, 0.3196584665035172, 0.12121212121212122
153, rovers, 72, 26, 0, 0
154, rovers, 142, 23, 0, 0
155, rovers, 358, 22, 0, 0
156, rovers, 712, 21, 0, 0
