ID, Domain, len, objs, valid_exe, invalid_exe
0, blocksworld, 10, 19, 0.15850073419758487, 0.025303764116641255
1, blocksworld, 30, 19, 0.2333423618833991, 0.09517987240721333
2, blocksworld, 50, 18, 0.28044776143401734, 0.14311581215391822
3, blocksworld, 92, 15, 0.1953716950739421, 0.1257689923493178
4, blocksworld, 236, 14, 0.2445116775437157, 0.12897218216310571
5, blocksworld, 476, 13, 0.2445116775437157, 0.12897218216310571
6, blocksworld, 15, 19, 0.19686526926633768, 0.06565841480689279
7, blocksworld, 45, 19, 0.28044776143401734, 0.14311581215391822
8, blocksworld, 75, 18, 0.28044776143401734, 0.14311581215391822
9, blocksworld, 132, 15, 0.1953716950739421, 0.1257689923493178
10, blocksworld, 343, 14, 0.28554283604900293, 0.1315119700739101
11, blocksworld, 684, 13, 0.41375391405604867, 0.162966169342643
12, blocksworld, 30, 19, 0.39955124583067786, 0.16058905428801046
13, blocksworld, 90, 19, 0.4294065375510209, 0.1604311951492129
14, blocksworld, 136, 18, 0.2445116775437157, 0.12897218216310571
15, blocksworld, 238, 15, 0.1953716950739421, 0.1257689923493178
16, blocksworld, 622, 14, 0.4390826220857631, 0.1604311951492129
17, blocksworld, 50, 19, 0.4113752384424625, 0.16058905428801046
18, blocksworld, 138, 19, 0.4390826220857631, 0.1604311951492129
19, blocksworld, 204, 18, 0.43558767062401876, 0.15663668496560906
20, blocksworld, 358, 15, 0.1953716950739421, 0.1257689923493178
21, blocksworld, 66, 19, 0.4390826220857631, 0.1604311951492129
22, blocksworld, 179, 19, 0.4390826220857631, 0.1604311951492129
23, blocksworld, 270, 18, 0.4390826220857631, 0.1604311951492129
24, blocksworld, 465, 15, 0.1953716950739421, 0.1257689923493178
25, blocksworld, 66, 19, 0.4390826220857631, 0.1604311951492129
26, blocksworld, 194, 19, 0.4390826220857631, 0.1604311951492129
27, blocksworld, 310, 18, 0.4390826220857631, 0.1604311951492129
28, blocksworld, 516, 15, 0.1953716950739421, 0.1257689923493178
29, childsnack, 10, 40, 0.4347991332175006, 0.004169537945048149
30, childsnack, 30, 40, 0.5207996878405041, 0.10637736696410166
31, childsnack, 50, 38, 0.5808313946069048, 0.4242586825494989
32, childsnack, 94, 33, 0.2569170323251956, 0.08641149100332773
33, childsnack, 242, 32, 0.293791817592838, 0.08748490738286657
34, childsnack, 486, 31, 0.44369194864092826, 0.32601653071040826
35, childsnack, 15, 40, 0.4803173192076253, 0.306799371263657
36, childsnack, 45, 40, 0.49540925533272473, 0.06587835964111474
37, childsnack, 75, 38, 0.5808313946069048, 0.4242586825494989
38, childsnack, 135, 33, 0.2569170323251956, 0.08641149100332773
39, childsnack, 353, 32, 0.7140536867705235, 0.46160123464970404
40, childsnack, 703, 31, 0.7140536867705235, 0.46160123464970404
41, childsnack, 27, 40, 0.7253727753727753, 0.5379933997408487
42, childsnack, 78, 40, 0.7253727753727753, 0.5379933997408487
43, childsnack, 123, 38, 0.7253727753727753, 0.5379933997408487
44, childsnack, 216, 33, 0.2569170323251956, 0.08641149100332773
45, childsnack, 534, 32, 0.6607959024158003, 0.5225792607807913
46, childsnack, 27, 40, 0.7253727753727753, 0.5379933997408487
47, childsnack, 81, 40, 0.7253727753727753, 0.5379933997408487
48, childsnack, 126, 38, 0.7253727753727753, 0.5379933997408487
49, childsnack, 219, 33, 0.2569170323251956, 0.08641149100332773
50, childsnack, 27, 40, 0.7253727753727753, 0.5379933997408487
51, childsnack, 81, 40, 0.7253727753727753, 0.5379933997408487
52, childsnack, 126, 38, 0.7253727753727753, 0.5379933997408487
53, childsnack, 219, 33, 0.2569170323251956, 0.08641149100332773
54, childsnack, 27, 40, 0.7253727753727753, 0.5379933997408487
55, childsnack, 81, 40, 0.7253727753727753, 0.5379933997408487
56, childsnack, 126, 38, 0.7253727753727753, 0.5379933997408487
