ID, Domain, len, len%, acceptance_rate, invalid_acceptance_rate
141, blocksworld, 486, 0.09810254339927331, 1.0, 0.0
142, blocksworld, 536, 0.10819539765845781, 1.0, 0.0
143, blocksworld, 444, 0.08962454582155834, 1.0, 0.0
144, blocksworld, 424, 0.08558740411788454, 1.0, 0.0
145, childsnack, 10, 0.004655493482309125, 0.0, 0.0
146, childsnack, 10, 0.004655493482309125, 0.0, 0.0
147, childsnack, 10, 0.004655493482309125, 0.0, 0.0
148, childsnack, 10, 0.004655493482309125, 0.0, 0.0
149, childsnack, 10, 0.004655493482309125, 0.0, 0.0
150, childsnack, 10, 0.004655493482309125, 0.0, 0.0
151, childsnack, 10, 0.004655493482309125, 0.0, 0.0
152, childsnack, 10, 0.004655493482309125, 0.0, 0.0
153, childsnack, 10, 0.004655493482309125, 0.0, 0.0
154, childsnack, 10, 0.004655493482309125, 0.0, 0.0
155, childsnack, 50, 0.023277467411545624, 0.08, 0.0
156, childsnack, 48, 0.0223463687150838, 0.12, 0.0
157, childsnack, 40, 0.0186219739292365, 0.0, 0.0
158, childsnack, 46, 0.021415270018621976, 1.0, 0.0
159, childsnack, 47, 0.021880819366852888, 1.0, 0.0
160, childsnack, 50, 0.023277467411545624, 0.12, 0.0
161, childsnack, 50, 0.023277467411545624, 1.0, 0.0
162, childsnack, 48, 0.0223463687150838, 0.08, 0.0
163, childsnack, 44, 0.020484171322160148, 1.0, 0.0
164, childsnack, 47, 0.021880819366852888, 1.0, 0.0
165, childsnack, 100, 0.04655493482309125, 0.12, 0.0
166, childsnack, 90, 0.04189944134078212, 1.0, 0.0
167, childsnack, 98, 0.04562383612662942, 1.0, 0.0
168, childsnack, 96, 0.0446927374301676, 1.0, 0.0
169, childsnack, 97, 0.04515828677839851, 1.0, 0.0
170, childsnack, 100, 0.04655493482309125, 0.12, 0.0
171, childsnack, 98, 0.04562383612662942, 0.12, 0.0
172, childsnack, 94, 0.043761638733705775, 1.0, 0.0
173, childsnack, 100, 0.04655493482309125, 1.0, 0.0
174, childsnack, 100, 0.04655493482309125, 0.0, 0.0
175, childsnack, 18, 0.008379888268156424, 0.4, 0.0
176, childsnack, 11, 0.005121042830540037, 0.4, 0.0
177, childsnack, 20, 0.00931098696461825, 1.0, 0.0
178, childsnack, 18, 0.008379888268156424, 0.4, 0.0
179, childsnack, 20, 0.00931098696461825, 1.0, 0.0
180, childsnack, 20, 0.00931098696461825, 1.0, 0.0
181, childsnack, 15, 0.006983240223463687, 0.12, 0.0
182, childsnack, 15, 0.006983240223463687, 0.12, 0.0
183, childsnack, 20, 0.00931098696461825, 1.0, 0.0
184, childsnack, 88, 0.040968342644320296, 1.0, 0.0
185, childsnack, 95, 0.04422718808193669, 1.0, 0.0
186, childsnack, 85, 0.03957169459962756, 1.0, 0.0
187, childsnack, 82, 0.038175046554934824, 1.0, 0.0
188, childsnack, 88, 0.040968342644320296, 1.0, 0.0
189, childsnack, 95, 0.04422718808193669, 1.0, 0.0
190, childsnack, 79, 0.03677839851024209, 1.0, 0.0
191, childsnack, 81, 0.03770949720670391, 1.0, 0.0
192, childsnack, 100, 0.04655493482309125, 1.0, 0.0
193, childsnack, 88, 0.040968342644320296, 1.0, 0.0
194, childsnack, 165, 0.07681564245810056, 1.0, 0.0
195, childsnack, 179, 0.08333333333333333, 1.0, 0.0
196, childsnack, 181, 0.08426443202979515, 1.0, 0.0
197, childsnack, 161, 0.07495344506517691, 1.0, 0.0
198, childsnack, 169, 0.07867783985102421, 1.0, 0.0
199, childsnack, 180, 0.08379888268156424, 1.0, 0.0
200, childsnack, 186, 0.08659217877094973, 1.0, 0.0
201, childsnack, 159, 0.07402234636871509, 1.0, 0.0
202, childsnack, 191, 0.08891992551210429, 1.0, 0.0
203, childsnack, 186, 0.08659217877094973, 1.0, 0.0
204, childsnack, 18, 0.008379888268156424, 0.4, 0.0
205, childsnack, 24, 0.0111731843575419, 1.0, 0.0
206, childsnack, 18, 0.008379888268156424, 0.4, 0.0
207, childsnack, 30, 0.013966480446927373, 1.0, 0.0
208, childsnack, 21, 0.009776536312849162, 1.0, 0.0
209, childsnack, 30, 0.013966480446927373, 1.0, 0.0
210, childsnack, 18, 0.008379888268156424, 0.4, 0.0
211, childsnack, 24, 0.0111731843575419, 1.0, 0.0
212, childsnack, 30, 0.013966480446927373, 1.0, 0.0
213, childsnack, 21, 0.009776536312849162, 1.0, 0.0
214, childsnack, 108, 0.05027932960893855, 1.0, 0.0
215, childsnack, 117, 0.05446927374301676, 1.0, 0.0
216, childsnack, 99, 0.046089385474860335, 1.0, 0.0
217, childsnack, 123, 0.05726256983240224, 1.0, 0.0
218, childsnack, 100, 0.04655493482309125, 1.0, 0.0
219, childsnack, 85, 0.03957169459962756, 1.0, 0.0
220, childsnack, 129, 0.06005586592178771, 1.0, 0.0
221, childsnack, 117, 0.05446927374301676, 1.0, 0.0
222, childsnack, 92, 0.04283054003724395, 1.0, 0.0
223, childsnack, 111, 0.051675977653631286, 1.0, 0.0
224, childsnack, 230, 0.10707635009310987, 1.0, 0.0
225, childsnack, 209, 0.0972998137802607, 1.0, 0.0
226, childsnack, 249, 0.11592178770949721, 1.0, 0.0
227, childsnack, 199, 0.09264432029795158, 1.0, 0.0
228, childsnack, 166, 0.07728119180633147, 1.0, 0.0
229, childsnack, 199, 0.09264432029795158, 1.0, 0.0
230, childsnack, 235, 0.10940409683426443, 1.0, 0.0
231, childsnack, 211, 0.09823091247672253, 1.0, 0.0
232, childsnack, 217, 0.10102420856610801, 1.0, 0.0
233, childsnack, 226, 0.10521415270018622, 1.0, 0.0
234, childsnack, 33, 0.015363128491620111, 1.0, 0.0
235, childsnack, 18, 0.008379888268156424, 0.4, 0.0
236, childsnack, 27, 0.012569832402234637, 1.0, 0.0
237, childsnack, 27, 0.012569832402234637, 1.0, 0.0
238, childsnack, 33, 0.015363128491620111, 1.0, 0.0
239, childsnack, 27, 0.012569832402234637, 1.0, 0.0
240, childsnack, 27, 0.012569832402234637, 1.0, 0.0
241, childsnack, 24, 0.0111731843575419, 1.0, 0.0
242, childsnack, 33, 0.015363128491620111, 1.0, 0.0
243, childsnack, 24, 0.0111731843575419, 1.0, 0.0
244, childsnack, 111, 0.051675977653631286, 1.0, 0.0
245, childsnack, 123, 0.05726256983240224, 1.0, 0.0
246, childsnack, 103, 0.04795158286778398, 1.0, 0.0
247, childsnack, 102, 0.04748603351955307, 1.0, 0.0
248, childsnack, 90, 0.04189944134078212, 1.0, 0.0
249, childsnack, 99, 0.046089385474860335, 1.0, 0.0
250, childsnack, 117, 0.05446927374301676, 1.0, 0.0
251, childsnack, 144, 0.0670391061452514, 1.0, 0.0
252, childsnack, 98, 0.04562383612662942, 1.0, 0.0
253, childsnack, 93, 0.04329608938547486, 1.0, 0.0
254, childsnack, 234, 0.10893854748603352, 1.0, 0.0
255, childsnack, 152, 0.07076350093109869, 1.0, 0.0
256, childsnack, 174, 0.08100558659217877, 1.0, 0.0
257, childsnack, 204, 0.09497206703910614, 1.0, 0.0
258, childsnack, 173, 0.08054003724394786, 1.0, 0.0
259, childsnack, 206, 0.09590316573556797, 1.0, 0.0
260, childsnack, 227, 0.10567970204841713, 1.0, 0.0
261, childsnack, 225, 0.10474860335195531, 1.0, 0.0
262, childsnack, 216, 0.1005586592178771, 1.0, 0.0
263, childsnack, 247, 0.11499068901303539, 1.0, 0.0
264, childsnack, 21, 0.009776536312849162, 1.0, 0.0
265, childsnack, 15, 0.006983240223463687, 0.12, 0.0
266, childsnack, 33, 0.015363128491620111, 1.0, 0.0
267, childsnack, 24, 0.0111731843575419, 1.0, 0.0
268, childsnack, 21, 0.009776536312849162, 1.0, 0.0
269, childsnack, 27, 0.012569832402234637, 1.0, 0.0
270, childsnack, 27, 0.012569832402234637, 1.0, 0.0
271, childsnack, 30, 0.013966480446927373, 1.0, 0.0
272, childsnack, 30, 0.013966480446927373, 1.0, 0.0
273, childsnack, 15, 0.006983240223463687, 0.12, 0.0
274, childsnack, 110, 0.051210428305400374, 1.0, 0.0
275, childsnack, 144, 0.0670391061452514, 1.0, 0.0
276, childsnack, 105, 0.04888268156424581, 1.0, 0.0
277, childsnack, 86, 0.04003724394785847, 1.0, 0.0
278, childsnack, 115, 0.053538175046554934, 1.0, 0.0
279, childsnack, 113, 0.05260707635009311, 1.0, 0.0
280, childsnack, 114, 0.05307262569832402, 1.0, 0.0
281, childsnack, 98, 0.04562383612662942, 1.0, 0.0
