ID, Domain, len, len%, valid_exe, invalid_exe
0, blocksworld, 10, 0.0020185708518368995, 0.19686526926633768, 0.9986531986531986
1, blocksworld, 10, 0.0020185708518368995, 0.28513642468396816, 0.9885521885521885
2, blocksworld, 10, 0.0020185708518368995, 0.19686526926633768, 0.9986531986531986
3, blocksworld, 10, 0.0020185708518368995, 0.19686526926633768, 0.9986531986531986
4, blocksworld, 10, 0.0020185708518368995, 0.19686526926633768, 0.9986531986531986
5, blocksworld, 30, 0.006055712555510699, 0.19686526926633768, 0.9986531986531986
6, blocksworld, 30, 0.006055712555510699, 0.28044776143401734, 0.9837037037037037
7, blocksworld, 30, 0.006055712555510699, 0.28044776143401734, 0.9837037037037037
8, blocksworld, 30, 0.006055712555510699, 0.28044776143401734, 0.9837037037037037
9, blocksworld, 30, 0.006055712555510699, 0.19686526926633768, 0.9986531986531986
10, blocksworld, 50, 0.010092854259184497, 0.19686526926633768, 0.9986531986531986
11, blocksworld, 50, 0.010092854259184497, 0.19686526926633768, 0.9986531986531986
12, blocksworld, 40, 0.008074283407347598, 0.19686526926633768, 0.9986531986531986
13, blocksworld, 40, 0.008074283407347598, 0.28044776143401734, 0.9837037037037037
14, blocksworld, 50, 0.010092854259184497, 0.28044776143401734, 0.9837037037037037
15, blocksworld, 98, 0.019781994348001614, 0.28044776143401734, 0.9837037037037037
16, blocksworld, 100, 0.020185708518368994, 0.28044776143401734, 0.9837037037037037
17, blocksworld, 80, 0.016148566814695196, 0.19686526926633768, 0.9986531986531986
18, blocksworld, 100, 0.020185708518368994, 0.19686526926633768, 0.9986531986531986
19, blocksworld, 90, 0.018167137666532097, 0.19686526926633768, 0.9986531986531986
20, blocksworld, 226, 0.045619701251513926, 0.28044776143401734, 0.9837037037037037
21, blocksworld, 228, 0.046023415421881306, 0.3743502810523842, 0.983030303030303
22, blocksworld, 218, 0.04400484457004441, 0.40513898181553243, 0.9854545454545455
23, blocksworld, 230, 0.046427129592248685, 0.28044776143401734, 0.9837037037037037
24, blocksworld, 234, 0.04723455793298345, 0.28044776143401734, 0.9837037037037037
25, blocksworld, 468, 0.0944691158659669, 0.28044776143401734, 0.9837037037037037
26, blocksworld, 462, 0.09325797335486476, 0.28044776143401734, 0.9837037037037037
27, blocksworld, 458, 0.09245054501413, 0.28044776143401734, 0.9837037037037037
28, blocksworld, 476, 0.09608397254743642, 0.28044776143401734, 0.9837037037037037
29, blocksworld, 436, 0.08800968914008882, 0.28044776143401734, 0.9837037037037037
30, blocksworld, 15, 0.0030278562777553493, 0.19686526926633768, 0.9986531986531986
31, blocksworld, 15, 0.0030278562777553493, 0.19686526926633768, 0.9986531986531986
32, blocksworld, 15, 0.0030278562777553493, 0.19686526926633768, 0.9986531986531986
33, blocksworld, 15, 0.0030278562777553493, 0.19686526926633768, 0.9986531986531986
34, blocksworld, 30, 0.006055712555510699, 0.19686526926633768, 0.9986531986531986
35, blocksworld, 41, 0.008276140492531288, 0.4147834429608808, 0.9854545454545455
36, blocksworld, 45, 0.009083568833266048, 0.28044776143401734, 0.9837037037037037
37, blocksworld, 45, 0.009083568833266048, 0.3002094816411195, 0.9878787878787879
38, blocksworld, 38, 0.007670569236980218, 0.4671028675115175, 0.9799326599326599
39, blocksworld, 60, 0.012111425111021397, 0.19686526926633768, 0.9986531986531986
