id,dod,actual_dod,domain,index,total_length,len%,runtime,polocm_time,locm2_time,locm_time,accuracy,error_rate,acceptance_rate,invalid_acceptance_rate,remark
0,0.5,0.5111111111111111,blocksworld,0,10,0.0020185708518368995,5.364194631576538,0.24998235702514648,0.006978750228881836,5.10723352432251,1.0,0.0,0.030303030303030304,0.13333333333333333,Success
28,0.5,0.5,blocksworld,0,20,0.004037141703673799,5.438365459442139,0.41106438636779785,0.0018150806427001953,5.025485992431641,0.8854166666666667,0.041666666666666664,0.050505050505050504,0.3276190476190476,Success
308,0.5,0.5111111111111111,ferry,4,40,0.010922992900054615,5.658142805099487,0.44789838790893555,0.0017075538635253906,5.208536863327026,0.7777777777777777,0.1111111111111111,0.0,0,Success
168,0.5,0.5111111111111111,childsnack,3,96,0.0446927374301676,6.513086795806885,1.2661235332489014,0.018262863159179688,5.228700399398804,0.9077380952380951,0.030753968253968256,0.061224489795918366,0.14572649572649574,Success
56,0.5,0.5,blocksworld,8,188,0.03794913201453371,8.700957536697388,3.3899478912353516,0.10248613357543945,5.208523511886597,0.96875,0.0,1.0,0.0509864372320754,Success
1,0.5,0.5111111111111111,blocksworld,1,10,0.0020185708518368995,4.517812252044678,0.12093591690063477,0.0012819766998291016,4.395594358444214,1.0,0.0,0.030303030303030304,0.13333333333333333,Success
29,0.5,0.5151515151515151,blocksworld,1,12,0.0024222850222042794,4.643954277038574,0.19502949714660645,0.0032939910888671875,4.445630788803101,0.8576388888888888,0.05555555555555555,1.0,0.39566166240349976,Success
309,0.5,0.5111111111111111,ferry,5,50,0.013653741125068269,4.925279378890991,0.486802339553833,0.01863265037536621,4.419844388961792,0.7731481481481483,0.0949074074074074,0.0,0,Success
169,0.5,0.5111111111111111,childsnack,4,97,0.04515828677839851,5.403304815292358,1.0289225578308105,0.011912107467651367,4.3624701499938965,0.9107142857142857,0.03373015873015873,0.04081632653061224,0.09273504273504274,Success
2,0.5,0.5111111111111111,blocksworld,3,10,0.0020185708518368995,4.403717756271362,0.11348581314086914,0.0007729530334472656,4.289458990097046,0.75,0.0,0.020202020202020204,0.0,Success
30,0.5,0.5111111111111111,blocksworld,2,10,0.0020185708518368995,4.541611909866333,0.11770176887512207,0.04940438270568848,4.3745057582855225,0.9131944444444444,0.027777777777777776,1.0,0.0880218317993502,Success
57,0.5,0.5,blocksworld,9,160,0.03229713362939039,7.254734039306641,2.7733676433563232,0.10506963729858398,4.376296758651733,0.9409722222222222,0.013888888888888888,1.0,0.10002884115731091,Success
310,0.5,0.5111111111111111,ferry,6,40,0.010922992900054615,4.7554545402526855,0.4458014965057373,0.0015785694122314453,4.308074474334717,0.41898148148148145,0.26157407407407407,0.0,0,Success
170,0.5,0.5111111111111111,childsnack,5,100,0.04655493482309125,5.176772356033325,0.8654532432556152,0.002858877182006836,4.308460235595703,0.9661111111111111,0.005,0.01020408163265306,0.0,Success
3,0.5,0.5111111111111111,blocksworld,4,10,0.0020185708518368995,4.422555446624756,0.13359522819519043,0.0008091926574707031,4.288151025772095,1.0,0.0,0.030303030303030304,0.13333333333333333,Success
280,0.5,0.5,childsnack,6,114,0.05307262569832402,17.66822361946106,12.409904479980469,0.028506755828857422,5.229812383651733,0.8482142857142857,0.021825396825396828,0.030612244897959183,0.21723646723646725,Success
31,0.5,0.5,blocksworld,3,20,0.004037141703673799,4.89300012588501,0.4962193965911865,0.024717330932617188,4.372063398361206,0.6076388888888888,0.18055555555555555,0.7777777777777778,0.15128050860237477,Success
58,0.5,0.5,blocksworld,0,16,0.003229713362939039,4.699238061904907,0.2596006393432617,0.001646280288696289,4.437991142272949,0.6076388888888888,0.18055555555555555,1.0,0.18794637163254604,Success
311,0.5,0.5111111111111111,ferry,7,48,0.013107591480065538,4.86502742767334,0.43753910064697266,0.015160083770751953,4.412328243255615,0.8055555555555555,0.0787037037037037,0.08080808080808081,0.0,Success
4,0.5,0.5111111111111111,blocksworld,5,10,0.0020185708518368995,4.678389549255371,0.12247776985168457,0.00092315673828125,4.554988622665405,1.0,0.0,0.030303030303030304,0.13333333333333333,Success
171,0.5,0.5111111111111111,childsnack,6,98,0.04562383612662942,5.377618074417114,0.9174935817718506,0.0027391910552978516,4.457385301589966,0.9511111111111111,0.02158730158730159,0.030612244897959183,0.1858974358974359,Success
32,0.5,0.5,blocksworld,4,20,0.004037141703673799,5.169338941574097,0.519568920135498,0.001085519790649414,4.648684501647949,0.5,0.25,0.030303030303030304,0.26666666666666666,Success
312,0.5,0.5111111111111111,ferry,8,28,0.007646095030038231,4.957132816314697,0.284869909286499,0.0016238689422607422,4.6706390380859375,0.8518518518518517,0.07407407407407407,0.08080808080808081,0.0,Success
59,0.5,0.5,blocksworld,1,12,0.0024222850222042794,4.829504013061523,0.1530005931854248,0.0017275810241699219,4.674775838851929,0.8993055555555556,0.027777777777777776,1.0,0.12390857436268449,Success
5,0.5,0.5111111111111111,blocksworld,6,10,0.0020185708518368995,5.250088691711426,0.12240862846374512,0.0009646415710449219,5.126715421676636,0.7777777777777778,0.1111111111111111,0.030303030303030304,0.15555555555555556,Success
172,0.5,0.5111111111111111,childsnack,7,94,0.043761638733705775,5.428752899169922,0.8814609050750732,0.0341494083404541,4.5131425857543945,0.9184027777777778,0.03125,0.030612244897959183,0.0,Success
33,0.5,0.5,blocksworld,5,20,0.004037141703673799,4.9886064529418945,0.43033504486083984,0.0011756420135498047,4.557095766067505,0.5,0.25,0.030303030303030304,0.26666666666666666,Success
313,0.5,0.5238095238095238,ferry,9,45,0.012288367012561441,4.8823816776275635,0.42218017578125,0.018830060958862305,4.441371440887451,0.7731481481481483,0.0949074074074074,0.0,0,Success
60,0.5,0.503448275862069,blocksworld,2,30,0.006055712555510699,6.058917045593262,1.6150591373443604,0.0011341571807861328,4.442723751068115,0.7777777777777778,0.1111111111111111,0.030303030303030304,0.15555555555555556,Success
6,0.5,0.5111111111111111,blocksworld,7,10,0.0020185708518368995,4.691622018814087,0.12848591804504395,0.0008788108825683594,4.562257289886475,1.0,0.0,0.030303030303030304,0.13333333333333333,Success
173,0.5,0.5111111111111111,childsnack,8,100,0.04655493482309125,5.535595893859863,1.0950849056243896,0.003496408462524414,4.437014579772949,0.9613095238095237,0.012896825396825396,0.030612244897959183,0.0,Success
34,0.5,0.5,blocksworld,6,20,0.004037141703673799,4.893278360366821,0.4188716411590576,0.0011134147644042969,4.473293304443359,0.5,0.25,0.030303030303030304,0.26666666666666666,Success
84,0.5,0.5011494252873563,blocksworld,7,300,0.060557125555106985,35.95179772377014,30.454267024993896,0.1456305980682373,5.351900100708008,0.8576388888888888,0.05555555555555555,1.0,0.0880218317993502,Success
314,0.5,0.5111111111111111,ferry,0,100,0.027307482250136537,5.4075963497161865,0.9091567993164062,0.020876169204711914,4.477563381195068,0.7731481481481483,0.0949074074074074,0.0,0,Success
7,0.5,0.5111111111111111,blocksworld,8,10,0.0020185708518368995,4.696813583374023,0.15529966354370117,0.03285050392150879,4.5086634159088135,0.8576388888888888,0.05555555555555555,1.0,0.09533671127401461,Success
61,0.5,0.503448275862069,blocksworld,3,30,0.006055712555510699,6.443320035934448,1.8278656005859375,0.08447527885437012,4.530979156494141,0.9409722222222222,0.013888888888888888,0.12121212121212122,0.3026375523327611,Success
174,0.5,0.5111111111111111,childsnack,9,100,0.04655493482309125,5.272124290466309,0.843536376953125,0.0019643306732177734,4.426623582839966,0.9555555555555555,0.0,0.0,0,Success
35,0.5,0.5,blocksworld,7,20,0.004037141703673799,4.922908782958984,0.45397424697875977,0.0011224746704101562,4.4678120613098145,0.5,0.25,0.030303030303030304,0.26666666666666666,Success
315,0.5,0.5111111111111111,ferry,1,97,0.026488257782632443,5.898622512817383,1.0083355903625488,0.017886877059936523,4.8724000453948975,0.7731481481481483,0.0949074074074074,0.0,0,Success
8,0.5,0.5333333333333333,blocksworld,0,50,0.010092854259184497,4.7805562019348145,0.4217259883880615,0.0011072158813476562,4.357722997665405,1.0,0.0,0.030303030303030304,0.13333333333333333,Success
62,0.5,0.5054945054945055,blocksworld,4,14,0.002825999192571659,4.613476037979126,0.21946978569030762,0.025166988372802734,4.368839263916016,0.7881944444444444,0.09027777777777778,0.7777777777777778,0.08656711776867718,Success
175,0.5,0.5032679738562091,childsnack,0,18,0.008379888268156424,4.832992076873779,0.47826552391052246,0.00302886962890625,4.351697683334351,0.8930277777777779,0.03230555555555555,0.10204081632653061,0.06364957264957265,Success
